,행정동코드,1월_외국인_총생활인구수,2월_외국인_총생활인구수,3월_외국인_총생활인구수,4월_외국인_총생활인구수,5월_외국인_총생활인구수,6월_외국인_총생활인구수,7월_외국인_총생활인구수,8월_외국인_총생활인구수,9월_외국인_총생활인구수,10월_외국인_총생활인구수,11월_외국인_총생활인구수,12월_외국인_총생활인구수,2021년_외국인_평균
103,11260610,61.9085,13.6553,62.1417,110.534,31.4917,51.8473,63.7217,50.5427,47.5636,38.6971,100.9279,71.611,58.7202
104,11260620,76.0935,41.2574,42.7589,27.0236,82.117,55.9287,67.9393,80.5422,61.1175,67.2695,60.0824,33.7479,57.9898
105,11260630,53.3877,52.376,24.6237,57.0743,66.0456,22.6345,46.6722,64.5743,18.0962,9.7563,32.6877,53.6076,41.7947
106,11260655,62.7502,24.5812,80.0988,74.2305,53.9098,62.7211,94.0181,43.6754,74.1174,81.675,91.7533,48.3685,65.9916
107,11260660,44.0084,13.6849,10.5889,31.3299,29.0416,28.684,19.7431,15.9563,6.1768,26.3499,4.9084,13.6437,20.343
108,11260680,47.5843,66.5821,85.1294,42.5001,51.9663,38.6739,70.4178,61.2307,69.9244,51.4925,26.9984,69.3567,56.8214
109,11260690,59.846,32.7719,23.343,13.9371,48.2108,45.6871,93.9657,10.6231,14.3718,75.6796,18.4945,53.8212,40.896
110,11290525,303.4454,174.5535,444.8942,104.6168,128.9589,211.9957,183.341,101.852,150.041,103.2557,164.4636,110.3159,181.8111
111,11290555,157.0104,206.1212,271.2277,224.6924,261.2447,57.1988,181.752,208.7322,179.223,328.8918,86.3223,147.894,192.5259
112,11290575,316.2168,811.7714,319.9688,469.7615,433.4877,214.0466,260.0859,399.1574,271.2322,228.7581,197.2564,261.1986,348.5785
113,11290580,57.2357,27.639,29.1323,69.6988,120.7339,31.2632,71.7963,58.497,41.7277,14.1151,57.1591,25.4048,50.3669
114,11290590,75.4004,104.5028,52.4414,56.8698,57.6677,58.0004,78.082,49.8381,61.7512,30.8904,54.2895,43.9996,60.3111
115,11290600,243.2591,730.759,644.4884,571.6608,299.1763,396.2572,224.9559,764.3808,792.4669,352.2009,290.4297,407.2727,476.4423
116,11290610,42.2616,123.7814,115.607,85.1184,95.4745,51.7028,60.1783,142.2446,110.6706,111.7169,57.9211,38.0779,86.2296
117,11290620,49.6291,92.0635,32.9938,63.311,75.6092,56.6851,70.7937,28.3102,57.5248,54.6309,44.9823,38.4865,55.4183
118,11290630,133.0169,94.3107,191.5353,78.9774,78.9481,47.3135,62.6226,119.0417,145.4704,35.007,34.2213,50.1711,89.2197
119,11290640,206.7105,311.4448,842.4896,255.6629,205.9345,244.7226,226.4131,757.3456,859.531,491.6241,290.9543,282.0943,414.5773
120,11290650,50.6084,66.3542,156.6054,140.743,157.6933,89.7063,106.564,149.9544,276.2791,124.2719,109.1763,92.2924,126.6874
121,11290660,123.0714,58.237,102.8559,26.7512,40.5304,102.5104,104.1128,107.2612,80.1309,77.4069,114.5261,109.8921,87.2739
122,11290685,82.2564,20.4622,50.2857,91.066,34.9914,57.7119,78.5959,91.4288,96.1246,45.02,55.951,107.4824,67.6147
123,11290705,187.9624,441.9042,953.0515,377.6186,400.1597,388.6962,265.3249,961.4203,1300.441,679.012,493.3317,1061.455,625.8648
124,11290715,88.9603,155.8647,47.3003,31.3757,45.4481,119.3276,140.6024,191.6952,124.3971,74.6493,69.7683,39.6168,94.0838
125,11290725,57.3364,44.596,126.343,63.0535,46.6821,58.8225,95.3766,69.0882,112.4042,100.9563,65.3223,72.3362,76.0265
126,11290760,10.9231,53.153,15.3193,52.1083,15.7731,13.6741,33.1532,68.9163,46.2567,44.6453,24.8977,51.5113,35.8609
127,11290770,22.3973,79.0914,2.237,32.0289,55.6394,29.9601,23.8484,17.0146,38.7325,6.7396,20.887,46.4094,31.2488
128,11290780,5.7246,14.4779,13.3194,23.6181,32.3022,17.947,24.9572,20.2706,24.2899,69.6572,13.6344,13.2489,22.7873
129,11290810,15.9813,149.2143,67.7965,104.2006,113.6893,160.4189,132.2643,110.172,49.0601,94.361,37.7427,121.0846,96.3321
130,11305534,16.1376,121.4886,54.078,12.9517,70.2156,69.779,18.3696,49.9824,44.6318,55.8818,31.7819,69.285,51.2152
131,11305535,106.0537,51.1382,104.8738,65.1715,41.5497,117.9965,25.8122,76.5735,79.7889,62.9806,46.7692,60.4184,69.9272
132,11305545,62.0078,193.1993,174.0171,85.5532,94.7585,181.6594,187.7736,61.7538,152.5107,196.1613,58.2397,112.1424,129.9814
133,11305555,58.6484,68.4865,63.7989,142.8863,94.2998,79.8107,45.3813,117.8354,68.8489,19.3766,109.3633,46.8762,76.301
134,11305575,52.1531,27.7793,92.8125,32.2707,39.115,28.8563,62.5033,29.2712,85.9993,29.6216,123.5424,63.0915,55.5847
135,11305590,15.2929,58.3894,159.8784,51.4394,39.0779,25.0519,102.0934,71.9538,33.7142,46.9138,72.0865,48.3871,60.3566
136,11305600,52.4469,32.1816,62.4949,14.6656,20.8539,77.9417,49.4415,19.6863,23.4272,23.3251,29.8991,48.5131,37.9064
137,11305606,22.9435,44.0742,33.0869,42.0064,20.4008,90.1052,33.5867,35.0057,9.9847,56.5663,8.329,35.1662,35.938
138,11305610,87.2136,55.2756,61.8237,78.5929,36.3782,39.0512,37.2173,25.7971,47.9998,75.8226,29.3321,41.1247,51.3024
139,11305620,116.7143,45.2105,32.9519,34.6808,24.3261,36.9921,35.319,19.0749,92.5329,42.481,20.0395,60.5874,46.7425
140,11305630,127.2416,169.0643,116.9441,50.51,106.4774,62.9437,60.9543,48.9856,127.2832,57.3959,49.1825,23.9321,83.4095
141,11305645,49.1677,25.4582,30.391,38.1768,72.6178,31.2313,111.381,119.5509,29.4409,44.1882,105.653,116.7176,64.4979
142,11305660,105.5252,86.6843,59.0994,44.1274,39.0853,22.3015,130.0075,46.6242,80.8815,162.1516,123.8201,29.9433,77.5209
143,11320511,59.6962,53.4783,39.8647,61.4862,78.7134,65.5059,75.6621,55.0276,43.3552,70.2145,34.4861,40.3373,56.4856
144,11320512,33.2886,27.9862,120.3593,73.5245,96.1408,36.2758,80.5307,47.5721,67.1167,54.0719,49.6571,83.4778,64.1668
145,11320513,8.2212,10.5449,34.8717,103.0927,82.226,39.1023,21.4621,52.7594,23.1075,10.7927,19.8826,40.4203,37.2069
146,11320514,49.7748,27.3093,44.3215,13.605,32.9051,105.3995,107.915,52.3554,110.2941,105.7681,51.943,56.7187,63.1924
147,11320515,46.1267,82.0867,50.9732,69.8618,19.2891,60.9251,68.2791,78.4588,50.0347,67.5092,23.0521,18.0586,52.8879
148,11320521,84.527,34.2123,25.8926,52.7375,27.6751,32.7409,66.3783,40.3308,43.4051,22.1839,14.4018,66.0451,42.5442
149,11320522,136.8664,14.8406,55.1986,73.7846,70.7119,49.0624,30.6148,45.6586,53.3458,55.781,26.937,22.9345,52.978
150,11320660,20.4762,91.6925,49.8793,32.9507,28.4109,61.1433,26.49,49.8986,12.6534,36.1572,26.8009,22.4881,38.2534
