,행정동_코드,상권_구분_코드,상권_코드,분기당_매출_금액,분기당_매출_건수,건당_매출액_평균,"환산임대료(원, 21년도)","증감율(%, 19-21년도)",임대료/매출,매출/임대료
228,11215850,A,2110166,511276838,27128,18847,94102,2.681,4.9929,0.2003
229,11215850,A,2110170,222504070,22129,10055,94102,2.681,9.3587,0.1069
230,11215850,D,2120056,1810707719,127335,14220,94102,2.681,6.6176,0.1511
231,11215850,D,2120058,440404173,45053,9775,94102,2.681,9.6268,0.1039
232,11215860,A,2110172,513517086,66441,7729,112567,-1.542,14.5642,0.0687
233,11215860,A,2110177,76373972,2190,34882,112567,-1.542,3.2271,0.3099
234,11215870,A,2110173,234456618,20474,11451,107213,8.183,9.3628,0.1068
235,11215870,A,2110175,180554169,20717,8715,107213,8.183,12.3021,0.0813
236,11215870,D,2120059,732439721,43353,16895,107213,8.183,6.3458,0.1576
237,11215870,D,2120060,647037191,80586,8029,107213,8.183,13.3532,0.0749
238,11215870,D,2120061,668983035,43392,15417,107213,8.183,6.9542,0.1438
239,11230536,A,2110181,404257396,37667,10732,92221,8.186,8.5931,0.1164
240,11230536,A,2110182,113215712,10768,10514,92221,8.186,8.7713,0.114
241,11230536,A,2110183,191151386,17741,10774,92221,8.186,8.5596,0.1168
242,11230536,A,2110184,193351907,19807,9762,92221,8.186,9.4469,0.1059
243,11230536,A,2110185,175085844,14969,11697,92221,8.186,7.8842,0.1268
244,11230536,A,2110187,741045116,55621,13323,92221,8.186,6.9219,0.1445
245,11230536,A,2110188,288761536,29219,9883,92221,8.186,9.3313,0.1072
246,11230536,A,2110192,176051840,13606,12940,92221,8.186,7.1268,0.1403
247,11230536,A,2110195,357834373,25051,14284,92221,8.186,6.4562,0.1549
248,11230536,D,2120062,2037252792,163424,12466,92221,8.186,7.3978,0.1352
249,11230545,A,2110186,173331836,19001,9122,121772,15.192,13.3493,0.0749
250,11230545,A,2110189,487281036,31455,15491,121772,15.192,7.8608,0.1272
251,11230545,A,2110190,278278270,23573,11805,121772,15.192,10.3153,0.0969
252,11230545,A,2110191,391063813,38565,10140,121772,15.192,12.0091,0.0833
253,11230545,A,2110193,199530463,21366,9339,121772,15.192,13.0391,0.0767
254,11230545,A,2110194,80585443,9933,8113,121772,15.192,15.0095,0.0666
255,11230545,A,2110198,11846364,303,39065,121772,15.192,3.1172,0.3208
