,행정동코드,1월_2030여성비율,2월_2030여성비율,3월_2030여성비율,4월_2030여성비율,5월_2030여성비율,6월_2030여성비율,7월_2030여성비율,8월_2030여성비율,9월_2030여성비율,10월_2030여성비율,11월_2030여성비율,12월_2030여성비율,2021년_2030여성_비율평균
101,11260590,5.0694,5.0268,5.1552,5.2058,5.235,5.2261,5.2143,5.2191,5.1555,5.2689,5.2285,5.1919,5.183
102,11260600,3.6431,3.5632,3.5811,3.5658,3.5351,3.5051,3.5719,3.5092,3.495,3.5253,3.4264,3.4124,3.5278
103,11260610,3.4247,3.4376,3.5117,3.5059,3.4916,3.4847,3.5025,3.5007,3.4833,3.5153,3.4849,3.4651,3.484
104,11260620,3.7559,3.7065,3.6938,3.7075,3.6761,3.6373,3.6915,3.7087,3.6766,3.7046,3.6376,3.5934,3.6825
105,11260630,3.849,3.7788,3.8604,3.8627,3.8204,3.8516,3.857,3.8759,3.8431,3.853,3.7826,3.8094,3.837
106,11260655,3.4431,3.3697,3.3373,3.3374,3.3932,3.3955,3.4306,3.4399,3.3945,3.4088,3.4199,3.4725,3.4035
107,11260660,3.3171,3.2268,3.1765,3.1592,3.2072,3.2007,3.241,3.2177,3.227,3.2601,3.1684,3.1994,3.2168
108,11260680,3.2087,3.184,3.2299,3.2239,3.1888,3.1912,3.2019,3.2269,3.2315,3.2118,3.2059,3.2159,3.21
109,11260690,3.4467,3.3627,3.4372,3.4511,3.4098,3.3756,3.3793,3.3405,3.342,3.3355,3.2978,3.3067,3.3738
110,11290525,3.9431,3.9308,3.8852,3.8964,3.883,3.8558,3.9343,3.8827,3.807,3.8384,3.8443,3.8228,3.877
111,11290555,4.8961,4.785,4.9486,4.973,4.9586,4.9723,4.9406,4.8939,4.8583,5.0071,5.078,4.9327,4.937
112,11290575,5.6918,5.4902,5.7372,5.7363,5.7515,5.8557,5.916,5.7667,5.7957,5.9788,6.0869,5.9981,5.8171
113,11290580,3.4262,3.3661,3.3618,3.3646,3.3551,3.3223,3.3634,3.3177,3.3324,3.3097,3.2733,3.2271,3.335
114,11290590,3.3326,3.35,3.3685,3.3356,3.3356,3.3327,3.3413,3.3467,3.3216,3.315,3.2272,3.2489,3.3213
115,11290600,5.8946,5.8387,5.7059,5.7623,5.795,5.894,5.9861,5.9736,5.9022,6.0175,6.1899,6.209,5.9307
116,11290610,4.4534,4.3497,4.4614,4.4854,4.436,4.4559,4.4515,4.4083,4.3686,4.4547,4.4848,4.4574,4.4389
117,11290620,3.4861,3.4292,3.5219,3.5051,3.4771,3.5034,3.5342,3.5,3.4719,3.4694,3.3989,3.3787,3.473
118,11290630,3.6911,3.6402,3.7062,3.7065,3.6963,3.6702,3.6715,3.6509,3.6394,3.6965,3.6503,3.6612,3.6734
119,11290640,4.3869,4.2213,4.4291,4.509,4.5428,4.5316,4.3798,4.3803,4.4025,4.6014,4.7492,4.681,4.4846
120,11290650,3.5119,3.4782,3.6124,3.6069,3.5937,3.5731,3.4974,3.4812,3.6269,3.693,3.7346,3.7015,3.5926
121,11290660,2.9508,2.8685,2.9002,2.8975,2.9084,2.8784,2.9049,2.8977,2.9338,2.9158,2.872,2.8591,2.8989
122,11290685,3.4693,3.4186,3.4863,3.5106,3.5072,3.5512,3.5625,3.5655,3.5442,3.5572,3.5109,3.5252,3.5174
123,11290705,3.7485,3.7253,3.837,3.8573,3.8282,3.8278,3.8285,3.8501,3.88,3.9527,3.9952,3.9973,3.8607
124,11290715,3.2799,3.2517,3.315,3.344,3.374,3.4046,3.416,3.4035,3.3863,3.4411,3.4362,3.4046,3.3714
125,11290725,4.2426,4.199,4.4231,4.4675,4.4012,4.3781,4.2677,4.2207,4.2422,4.385,4.3635,4.3412,4.3277
126,11290760,3.2939,3.3161,3.3732,3.392,3.38,3.4127,3.429,3.4546,3.5115,3.5131,3.4223,3.455,3.4128
127,11290770,3.3072,3.3098,3.4264,3.463,3.4656,3.4585,3.4659,3.481,3.4722,3.48,3.4005,3.3797,3.4258
128,11290780,3.5015,3.5082,3.5685,3.577,3.6132,3.6674,3.832,3.9896,3.9749,3.9859,3.8529,3.9231,3.7495
129,11290810,3.6214,3.6106,3.7168,3.6752,3.6832,3.6595,3.599,3.5407,3.5979,3.6751,3.6791,3.6711,3.6441
130,11305534,3.1027,3.0899,3.108,3.0749,3.0642,3.0776,3.0882,3.0718,3.1101,3.1062,3.0634,3.0711,3.0857
131,11305535,3.8687,3.7837,3.9568,3.9586,3.9441,3.9368,3.8735,3.8383,3.8125,3.9084,3.8907,3.8763,3.8874
132,11305545,3.5878,3.5828,3.6162,3.6538,3.6363,3.6088,3.6311,3.5972,3.5902,3.6152,3.5999,3.6083,3.6106
133,11305555,3.0388,3.0215,2.9989,3.0167,3.0082,2.9858,3.0435,3.012,3.0284,3.0437,3.0181,3.0249,3.02
134,11305575,2.8136,2.784,2.811,2.8117,2.7885,2.743,2.7607,2.7847,2.8117,2.7825,2.7743,2.7557,2.7851
135,11305590,4.0336,4.0177,4.1118,4.0719,3.9806,3.9187,3.9756,3.9831,3.964,4.0644,4.0266,4.024,4.0143
136,11305600,3.1647,3.1685,3.1741,3.223,3.2172,3.1166,3.1434,3.1713,3.2281,3.2588,3.2507,3.2126,3.1941
137,11305606,2.7348,2.7207,2.7966,2.8306,2.8105,2.8196,2.8046,2.8251,2.8246,2.819,2.7506,2.721,2.7881
138,11305610,3.4379,3.4283,3.4253,3.3873,3.3709,3.3635,3.3625,3.3524,3.3103,3.3451,3.3355,3.3347,3.3711
139,11305620,3.0962,3.0682,3.1639,3.206,3.2249,3.2029,3.2056,3.1934,3.2156,3.2407,3.2123,3.2139,3.187
140,11305630,4.2387,4.1908,4.2767,4.285,4.2569,4.2372,4.2243,4.1748,4.1508,4.1985,4.2374,4.2153,4.2239
141,11305645,3.3206,3.3013,3.4373,3.4294,3.4737,3.484,3.422,3.4338,3.5961,3.6866,3.6191,3.5804,3.482
142,11305660,3.2787,3.265,3.2737,3.2849,3.2854,3.2676,3.3003,3.3103,3.3408,3.3545,3.3058,3.2975,3.297
143,11320511,3.5583,3.4924,3.524,3.5572,3.5526,3.547,3.6019,3.5767,3.526,3.5828,3.5363,3.5075,3.5469
144,11320512,3.5126,3.482,3.593,3.5808,3.5725,3.5949,3.5898,3.5271,3.5316,3.5885,3.5512,3.5353,3.5549
145,11320513,2.8518,2.8614,2.9174,2.916,2.8563,2.8533,2.8702,2.8546,2.8816,2.92,2.8398,2.7977,2.8683
146,11320514,3.1998,3.1781,3.2038,3.2009,3.205,3.2036,3.2164,3.2306,3.2572,3.2646,3.2193,3.2514,3.2192
147,11320515,3.5565,3.5545,3.5637,3.5697,3.575,3.5347,3.5358,3.5061,3.5559,3.5647,3.5334,3.5315,3.5484
148,11320521,2.7069,2.6872,2.6945,2.6616,2.6572,2.6457,2.6532,2.6385,2.684,2.6832,2.6877,2.6759,2.673
149,11320522,3.138,3.1263,3.1468,3.155,3.1498,3.1484,3.1332,3.0773,3.0841,3.0943,3.1081,3.0945,3.1213
150,11320660,3.558,3.5126,3.7203,3.7256,3.6319,3.6125,3.4806,3.4213,3.4394,3.4914,3.4669,3.4625,3.5436
151,11320670,3.5052,3.4568,3.4547,3.4358,3.4558,3.4004,3.4609,3.4629,3.456,3.4483,3.4175,3.3694,3.4436
152,11320680,3.8292,3.7931,3.8249,3.8052,3.7932,3.7975,3.8963,3.8999,3.8459,3.8584,3.775,3.7376,3.8214
153,11320681,3.2839,3.2399,3.1495,3.1729,3.1688,3.1503,3.2139,3.1402,3.1295,3.1198,3.0828,3.0519,3.1586
