,행정동_코드,행정동명,상권_구분_코드,상권_코드,분기당_매출_금액,분기당_매출_건수,건당_매출액_평균,"환산임대료(원, 21년도)","증감율(%, 19-21년도)",임대료/매출,매출/임대료,개업률_평균,폐업률_평균,점포수,면적,단위면적당 상권 수(k㎡),프랜차이즈_점포_수,개인사업자_수,프랜차이즈 비율,2021년_2030여성_비율평균,2021년_외국인_평균,문화시설수,지하철_역_수,버스_정거장_수,유사_업종_점포_수,개인사업자_점포수,개인사업자_비율
58,11140540,회현동,D,2120024,663238472,49570,13380,312666,0.811,23.3682,0.0428,4.5881,2.9187,2421,0.84,2882.1428571428573,127,347,0.267932489,0.0483,1151.2176,10,6,30,14,13,0.9286
59,11140540,회현동,D,2120043,-2147483648,215905,12741,312666,0.811,24.5401,0.0407,1.75,2.8333,2421,0.84,2882.1428571428573,127,347,0.267932489,0.0483,1151.2176,10,6,30,83,39,0.4699
60,11140550,명동,A,2110041,980104736,36436,26899,164231,-4.27,6.1055,0.1638,1.3809,0.6191,1473,0.99,1487.878787878788,379,1193,0.241094148,0.0603,1344.1414,52,1,32,12,12,1.0
61,11140550,명동,D,2120023,1919876039,104862,18309,164231,-4.27,8.97,0.1115,2.4167,3.7222,1473,0.99,1487.878787878788,379,1193,0.241094148,0.0603,1344.1414,52,1,32,43,18,0.4186
62,11140550,명동,D,2120026,-2147483648,193429,14287,164231,-4.27,11.4951,0.087,2.7037,3.4815,1473,0.99,1487.878787878788,379,1193,0.241094148,0.0603,1344.1414,52,1,32,96,56,0.5833
63,11140550,명동,D,2120027,706433153,72227,9781,164231,-4.27,16.7908,0.0596,2.1944,4.5278,1473,0.99,1487.878787878788,379,1193,0.241094148,0.0603,1344.1414,52,1,32,41,25,0.6098
64,11140550,명동,D,2120028,-2147483648,286207,13414,164231,-4.27,12.2433,0.0817,1.8148,3.3241,1473,0.99,1487.878787878788,379,1193,0.241094148,0.0603,1344.1414,52,1,32,150,75,0.5
65,11140550,명동,D,2120029,458419378,25195,18195,164231,-4.27,9.0262,0.1108,0.9259,4.9074,1473,0.99,1487.878787878788,379,1193,0.241094148,0.0603,1344.1414,52,1,32,19,11,0.5789
66,11140550,명동,D,2120030,1012807918,78487,12904,164231,-4.27,12.7271,0.0786,2.7593,2.8704,1473,0.99,1487.878787878788,379,1193,0.241094148,0.0603,1344.1414,52,1,32,47,30,0.6383
67,11140570,필동,A,2110042,160174990,14545,11012,120006,7.897,10.8977,0.0918,2.4583,1.3565,863,1.14,757.0175438596492,74,410,0.152892562,0.0511,839.5526,30,2,8,10,9,0.9
68,11140570,필동,D,2120032,-2147483648,179993,12822,120006,7.897,9.3594,0.1068,2.9722,3.4907,863,1.14,757.0175438596492,74,410,0.152892562,0.0511,839.5526,30,2,8,89,66,0.7416
69,11140580,장충동,A,2110043,194864478,20348,9577,107807,6.838,11.2569,0.0888,1.4107,2.3348,366,1.36,269.11764705882354,21,151,0.122093023,0.0561,423.7671,25,1,8,10,8,0.8
70,11140580,장충동,A,2110045,306879551,13092,23441,107807,6.838,4.5991,0.2174,4.2841,4.1742,366,1.36,269.11764705882354,21,151,0.122093023,0.0561,423.7671,25,1,8,5,5,1.0
71,11140580,장충동,A,2110048,138267637,6016,22983,107807,6.838,4.6907,0.2132,7.5239,7.5616,366,1.36,269.11764705882354,21,151,0.122093023,0.0561,423.7671,25,1,8,5,5,1.0
72,11140580,장충동,D,2120036,580689996,37312,15563,107807,6.838,6.9271,0.1444,1.7778,2.5093,366,1.36,269.11764705882354,21,151,0.122093023,0.0561,423.7671,25,1,8,15,10,0.6667
73,11140590,광희동,D,2120034,579728975,26486,21888,190904,2.191,8.7219,0.1147,4.4726,3.5301,2222,0.74,3002.702702702703,93,396,0.190184049,0.0545,1986.3534,40,3,15,11,8,0.7273
74,11140590,광희동,D,2120035,660261350,57703,11442,190904,2.191,16.6845,0.0599,1.6806,3.5059,2222,0.74,3002.702702702703,93,396,0.190184049,0.0545,1986.3534,40,3,15,6,5,0.8333
75,11140590,광희동,D,2120037,-2147483648,212802,10844,190904,2.191,17.6046,0.0568,2.0463,3.1389,2222,0.74,3002.702702702703,93,396,0.190184049,0.0545,1986.3534,40,3,15,72,47,0.6528
76,11140605,을지로동,D,2120031,-2147483648,265669,14823,141458,6.805,9.5431,0.1048,3.5,2.463,1581,0.6,2635.0,63,450,0.122807018,0.0415,831.0017,21,4,14,87,67,0.7701
77,11140605,을지로동,D,2120033,494960233,39461,12543,141458,6.805,11.2778,0.0887,6.9812,5.6292,1581,0.6,2635.0,63,450,0.122807018,0.0415,831.0017,21,4,14,17,12,0.7059
78,11140615,신당동,A,2110051,248749205,27583,9018,369515,1.273,40.9753,0.0244,5.0224,3.8889,2179,0.55,3961.8181818181815,59,289,0.16954023,0.0513,367.0481,20,2,3,5,5,1.0
79,11140615,신당동,A,2110053,276297437,28461,9708,369515,1.273,38.0629,0.0263,5.209,3.0687,2179,0.55,3961.8181818181815,59,289,0.16954023,0.0513,367.0481,20,2,3,4,2,0.5
80,11140615,신당동,D,2120039,1695629867,133444,12707,369515,1.273,29.0796,0.0344,4.8148,4.2407,2179,0.55,3961.8181818181815,59,289,0.16954023,0.0513,367.0481,20,2,3,41,26,0.6341
81,11140625,다산동,A,2110047,21081409,2040,10331,103685,-0.091,10.0363,0.0996,5.5,3.3333,546,0.51,1070.5882352941176,62,224,0.216783217,0.0445,97.0571,12,2,7,5,5,1.0
82,11140625,다산동,A,2110049,808589000,20003,40424,103685,-0.091,2.5649,0.3899,7.5775,3.1917,546,0.51,1070.5882352941176,62,224,0.216783217,0.0445,97.0571,12,2,7,15,14,0.9333
83,11140625,다산동,A,2110052,225749246,14093,16019,103685,-0.091,6.4726,0.1545,1.5104,1.0938,546,0.51,1070.5882352941176,62,224,0.216783217,0.0445,97.0571,12,2,7,6,4,0.6667
84,11140625,다산동,D,2120038,1408967867,113138,12454,103685,-0.091,8.3254,0.1201,3.5926,2.9815,546,0.51,1070.5882352941176,62,224,0.216783217,0.0445,97.0571,12,2,7,38,22,0.5789
85,11140635,약수동,A,2110050,243423297,17184,14166,121820,1.371,8.5995,0.1163,7.4542,1.4558,480,0.48,1000.0,2,17,0.105263158,0.0394,98.5671,3,0,5,3,3,1.0
86,11140645,청구동,A,2110054,369907300,35022,10562,98506,3.478,9.3265,0.1072,5.8426,4.9167,322,0.34,947.0588235294116,9,36,0.2,0.0403,65.706,5,0,0,11,9,0.8182
87,11140650,신당5동,A,2110056,263721063,24379,10818,112029,-7.077,10.3558,0.0966,7.4677,4.1196,398,0.39,1020.5128205128204,7,70,0.090909091,0.0433,91.6902,3,0,4,11,10,0.9091
88,11140670,황학동,A,2110055,82777283,2331,35518,126362,-2.006,3.5577,0.2811,0.0,0.0,518,0.33,1569.6969696969695,8,34,0.19047619,0.0514,202.8586,4,0,3,1,1,1.0
89,11140670,황학동,A,2110057,485718015,55869,8694,126362,-2.006,14.5344,0.0688,2.373,1.8234,518,0.33,1569.6969696969695,8,34,0.19047619,0.0514,202.8586,4,0,3,3,2,0.6667
90,11140680,중림동,A,2110591,224402496,13313,16856,131486,8.629,7.8005,0.1282,1.2778,0.6944,403,0.48,839.5833333333334,27,136,0.165644172,0.0461,195.2789,3,0,7,2,2,1.0
91,11140680,중림동,D,2120018,696577361,42534,16377,131486,8.629,8.0287,0.1246,2.3704,2.7593,403,0.48,839.5833333333334,27,136,0.165644172,0.0461,195.2789,3,0,7,31,27,0.871
92,11170510,후암동,A,2110077,171497929,14168,12105,111346,6.701,9.1983,0.1087,2.1562,5.0625,368,0.86,427.90697674418607,26,160,0.139784946,0.0421,196.023,2,0,9,4,3,0.75
93,11170510,후암동,A,2110079,519176390,35761,14518,111346,6.701,7.6695,0.1304,3.0185,3.5833,368,0.86,427.90697674418607,26,160,0.139784946,0.0421,196.023,2,0,9,29,26,0.8966
