,상권_코드,개업률_평균,폐업률_평균
567,2110569,4.6852,4.4907
568,2110570,5.1186,3.8333
569,2110571,5.6046,4.642
570,2110572,3.9445,4.713
571,2110573,5.0318,5.8333
572,2110574,1.6667,4.1667
573,2110575,2.0083,3.2
574,2110576,5.2407,5.7685
575,2110577,6.371,6.8641
576,2110578,3.9734,3.2234
577,2110579,6.3577,3.9885
578,2110580,5.0253,5.2723
579,2110581,1.1905,1.1905
580,2110582,4.794,2.4254
581,2110583,1.4484,2.7133
582,2110584,7.2199,1.7544
583,2110585,3.5727,6.5273
584,2110586,3.3519,5.7685
585,2110587,3.0876,4.7676
586,2110588,5.4009,1.9496
587,2110589,2.2167,1.6667
588,2110590,2.1786,2.2262
589,2110591,1.2778,0.6944
590,2110592,1.6984,2.6825
591,2110593,5.2014,4.8789
592,2110594,6.6404,5.1203
593,2110595,4.6902,5.646
594,2110596,3.0714,1.534
595,2110597,5.7159,7.1183
596,2110598,4.6383,5.2674
597,2110599,3.6428,3.2976
598,2110600,6.7028,4.0861
599,2110601,3.3878,3.2708
600,2110602,6.6491,6.9675
601,2110603,3.9749,3.7853
602,2110604,3.5953,3.5715
603,2110605,2.7361,2.9445
604,2110606,4.601,2.4102
605,2110607,6.3776,1.4662
606,2110608,4.0699,4.6411
607,2110609,1.3889,0.0
608,2110610,0.7246,1.7663
609,2110611,7.42,6.4463
610,2110612,6.846,3.4227
611,2110613,2.7381,5.6746
612,2110614,2.0377,1.8301
613,2110615,4.011,1.2518
614,2110616,9.4451,2.4235
615,2110617,6.7137,5.8462
616,2110618,7.6418,6.8172
617,2110619,8.2333,10.0167
618,2110620,4.6456,4.3333
619,2110621,3.5,3.0313
620,2110622,7.3848,3.8775
621,2110623,3.7037,0.0
622,2110624,1.4272,4.2982
623,2110625,4.7963,4.4537
624,2110626,4.2681,2.6377
625,2110627,6.381,4.1024
626,2110628,4.1568,2.248
627,2110629,2.4445,2.375
628,2110630,3.5287,1.621
629,2110631,4.4202,4.7707
630,2110632,6.0238,4.4062
631,2110633,2.5833,2.1771
632,2110634,4.1852,5.6389
633,2110635,3.2917,4.0313
634,2110636,3.9524,5.3214
635,2110637,7.9965,6.5542
636,2110638,5.8603,4.4834
637,2110639,6.6662,4.8648
638,2110640,2.695,1.6623
639,2110641,3.4524,1.8929
640,2110642,1.3889,2.7778
641,2110643,6.3913,6.7445
642,2110644,0.0,0.0
643,2110645,4.3464,4.5959
644,2110646,7.544,6.8206
645,2110647,5.1759,3.4167
646,2110648,11.2153,6.5764
647,2110649,5.836,4.6673
648,2110650,7.5961,5.0252
649,2110651,6.2085,5.0346
650,2110652,7.178,3.364
651,2110653,3.4749,4.1368
652,2110654,5.9352,5.6389
653,2110655,5.4167,7.5648
654,2110656,3.3333,2.7129
655,2110657,5.1563,5.4792
656,2110658,2.25,5.5
657,2110659,3.4723,5.0741
658,2110660,4.6482,5.6759
659,2110661,6.7987,3.3783
660,2110662,4.0648,3.8426
661,2110663,3.939,4.7292
662,2110664,3.4003,4.0015
663,2110665,5.4249,3.9951
664,2110666,5.8942,4.4974
665,2110667,5.5833,9.7037
666,2110668,4.9327,5.4417
667,2110669,6.1639,4.7278
668,2110670,4.7632,3.3297
669,2110671,5.0648,4.8055
670,2110672,1.9444,4.8611
671,2110673,3.7659,3.4762
672,2110674,4.216,2.1739
673,2110675,13.0261,5.2122
674,2110676,5.2997,4.3491
675,2110677,5.4561,5.9551
676,2110678,0.0,1.6667
677,2110679,3.2982,0.6622
678,2110680,5.3586,5.3831
679,2110681,2.7953,1.0111
680,2110682,3.3723,0.0
681,2110683,6.4284,5.9781
682,2110684,5.7718,6.2321
683,2110685,6.6667,0.0
684,2110686,5.5312,6.5313
685,2110687,4.9541,2.242
686,2110688,8.857,8.4539
687,2110689,2.8052,3.7509
688,2110690,6.6667,5.1019
689,2110691,6.0595,9.0952
690,2110692,0.7611,3.1278
691,2110693,0.5373,2.375
692,2110694,4.6713,3.5347
693,2110695,4.9722,4.3518
694,2110696,0.7246,1.4493
695,2110697,6.6905,8.7899
696,2110698,1.9375,1.8874
697,2110699,2.6875,3.0104
698,2110700,3.2968,1.519
699,2110701,2.4116,1.2698
700,2110702,5.1032,3.5569
701,2110703,3.3519,4.7222
702,2110704,0.0,1.875
703,2110705,2.2222,0.0
704,2110706,3.9537,4.3056
705,2110707,1.5833,2.5417
706,2110708,2.9493,2.5211
707,2110709,5.9835,5.6042
708,2110710,2.841,3.3541
709,2110711,6.3959,3.5262
710,2110712,5.117,3.7365
711,2110713,4.5417,2.3125
712,2110714,5.0087,3.9919
713,2110715,5.67,4.2254
714,2110716,3.5833,4.4896
715,2110717,3.7963,3.2592
716,2110718,4.6759,3.3796
717,2110719,0.0,0.0
718,2110720,3.3966,4.1266
719,2110721,2.2222,3.2593
720,2110722,3.6574,1.25
721,2110723,3.5873,3.1347
722,2110724,3.8918,3.2559
723,2110725,3.8325,2.3207
724,2110726,6.5913,3.5714
725,2110727,8.2466,4.6191
726,2110728,2.725,3.173
727,2110729,3.9688,3.0104
728,2110730,7.0861,4.4966
729,2110731,4.5625,2.4468
730,2110732,2.8611,2.8733
731,2110733,4.733,0.0
732,2110734,3.2222,1.3889
733,2110735,4.3542,5.6771
734,2110736,4.7083,3.8958
735,2110737,3.8333,6.4
736,2110738,8.9519,6.4182
737,2110739,2.4611,0.6516
738,2110740,6.7714,4.9638
739,2110741,6.4772,3.29
740,2110742,2.9928,3.7577
