,상권_코드,유사_업종_점포_수,개인사업자_점포수,개인사업자_비율
1244,2120226,36,21,0.5833
1245,2120227,125,65,0.52
1246,2120228,60,40,0.6667
1247,2120229,18,12,0.6667
1248,2120230,26,13,0.5
1249,2120231,6,2,0.3333
1250,2120232,24,18,0.75
1251,2120233,19,13,0.6842
1252,2120234,51,29,0.5686
1253,2120235,182,132,0.7253
1254,2120236,40,18,0.45
1255,2120237,39,27,0.6923
1256,2120238,16,4,0.25
1257,2120239,32,25,0.7812
1258,2120240,12,8,0.6667
1259,2120241,21,12,0.5714
1260,2120242,48,40,0.8333
1261,2120243,52,27,0.5192
1262,2120244,21,11,0.5238
1263,2120245,46,32,0.6957
1264,2120246,49,31,0.6327
1265,2120247,24,10,0.4167
1266,2120248,36,19,0.5278
1267,2120249,42,20,0.4762
