,행정동코드,행정동명,점포수,면적,단위면적당 상권 수(k㎡),프랜차이즈_점포_수,개인사업자_수,프랜차이즈 비율
317,11140665,동화동,283,0.26,1088.4615384615383,50,233,0.17667844522968199
318,11440610,염리동,360,0.44,818.1818181818181,28,130,0.17721519
319,11620765,미성동,524,1.38,379.71014492753625,36,114,0.24
320,11170630,이촌1동,637,2.86,222.72727272727275,8,51,0.13559322
321,11380560,구산동,432,1.38,313.04347826086956,31,148,0.173184358
322,11170660,이태원2동,573,0.86,666.2790697674419,27,225,0.107142857
323,11200550,사근동,542,1.1,492.7272727272727,12,61,0.164383562
324,11500520,등촌1동,720,0.64,1125.0,23,118,0.163120567
325,11680650,역삼2동,1260,1.15,1095.6521739130435,22,145,0.131736527
326,11380580,응암1동,766,1.2,638.3333333333334,52,190,0.214876033
327,11470560,신월1동,677,0.65,1041.5384615384614,24,172,0.12244898
328,11620725,조원동,741,0.67,1105.9701492537313,27,135,0.166666667
329,11290650,정릉4동,522,3.13,166.77316293929712,13,44,0.228070175
330,11410620,홍제1동,405,1.23,329.2682926829268,48,154,0.237623762
331,11470611,신월7동,434,1.19,364.7058823529412,18,109,0.141732283
332,11290760,장위1동,407,0.7,581.4285714285714,19,57,0.25
333,11410660,홍은1동,427,1.58,270.253164556962,8,31,0.205128205
334,11230570,전농2동,389,0.86,452.3255813953488,6,36,0.142857143
335,11200650,성수1가1동,520,1.97,263.9593908629442,21,182,0.103448276
336,11290715,월곡1동,458,0.81,565.4320987654321,33,176,0.157894737
337,11305635,수유3동,1130,0.72,1569.4444444444446,155,628,0.197956577
338,11590510,노량진1동,824,1.58,521.5189873417721,91,384,0.191578947
339,11710670,잠실2동,555,2.18,254.58715596330273,85,470,0.15315315315315314
340,11320515,창5동,515,0.7,735.7142857142858,27,75,0.264705882
341,11200620,금호4가동,386,0.84,459.5238095238095,18,113,0.13740458
342,11470600,신월5동,483,0.69,700.0,16,81,0.164948454
343,11470680,신정7동,429,1.21,354.54545454545456,0,6,0.0
344,11350621,중계1동,476,0.63,755.5555555555555,77,399,0.16176470588235295
345,11710631,가락1동,501,1.34,373.88059701492534,10,124,0.074626866
346,11350710,상계9동,238,0.81,293.82716049382714,17,38,0.309090909
347,11590530,상도1동,853,1.51,564.9006622516556,89,227,0.28164557
348,11620735,대학동,676,8.3,81.44578313253011,80,379,0.174291939
349,11260600,중화1동,479,0.64,748.4375,18,69,0.206896552
350,11500560,화곡3동,625,0.53,1179.245283018868,14,95,0.128440367
351,11350624,중계4동,474,1.7,278.8235294117647,37,147,0.201086957
352,11710566,오륜동,212,3.17,66.8769716088328,44,168,0.20754716981132076
353,11410720,북가좌2동,646,0.84,769.047619047619,38,138,0.215909091
354,11620775,난곡동,355,0.96,369.7916666666667,34,99,0.255639098
355,11230560,전농1동,1220,1.19,1025.2100840336134,86,313,0.215538847
356,11170690,서빙고동,264,2.8,94.28571428571429,9,59,0.132352941
357,11560515,영등포본동,725,1.02,710.7843137254902,17,78,0.178947368
358,11110580,교남동,174,0.35,497.14285714285717,47,203,0.188
359,11320681,쌍문4동,314,0.52,603.8461538461538,1,8,0.111111111
360,11260540,면목4동,315,0.87,362.0689655172414,6,51,0.105263158
361,11560560,당산2동,800,1.55,516.1290322580645,101,305,0.248768473
362,11560680,신길6동,472,0.65,726.1538461538461,14,97,0.126126126
363,11590620,사당1동,680,0.79,860.7594936708861,40,190,0.173913043
364,11140580,장충동,366,1.36,269.11764705882354,21,151,0.122093023
365,11110570,무악동,122,0.36,338.8888888888889,5,20,0.2
366,11530520,구로1동,348,1.02,341.1764705882353,57,291,0.16379310344827586
367,11470530,목3동,641,0.53,1209.433962264151,57,168,0.253333333
368,11710580,송파1동,1083,0.79,1370.886075949367,85,468,0.153707052
369,11170560,원효로1동,715,0.59,1211.864406779661,12,117,0.093023256
370,11680700,세곡동,684,6.36,107.54716981132074,47,82,0.364341085
371,11290780,장위3동,225,0.65,346.15384615384613,39,186,0.17333333333333334
372,11620665,서림동,386,0.99,389.8989898989899,22,142,0.134146341
373,11350720,상계10동,186,0.8,232.5,3,16,0.157894737
374,11110640,이화동,504,0.78,646.1538461538461,43,164,0.207729469
375,11290640,정릉3동,461,3.71,124.25876010781671,22,66,0.25
376,11170520,용산2가동,362,1.96,184.69387755102042,14,110,0.112903226
377,11410520,천연동,420,0.97,432.9896907216495,4,18,0.181818182
378,11590680,신대방2동,543,1.03,527.1844660194174,71,243,0.22611465
379,11260575,면목3.8동,879,1.63,539.2638036809816,64,268,0.192771084
380,11740550,고덕1동,365,1.73,210.9826589595376,16,58,0.216216216
